Service Classification,samples,avg_text_length,min_text_length,max_text_length,median_text_length,avg_word_count,min_word_count,max_word_count,median_word_count,Top_10_Words
Enterprise,300,469.41,116,1285,438.0,68.72,22,184,65.0,"and(1131), the(875), api(486), for(296), with(288), data(214), service(178), allows(177), that(164), access(162)"
Financial,300,456.49,101,1433,428.0,69.44,14,228,65.0,"the(1119), and(1032), api(526), for(312), data(275), that(247), with(183), allows(175), provides(174), users(168)"
Government,300,491.63,83,1118,456.5,74.36,11,193,69.5,"the(1329), and(1068), data(490), api(483), for(342), information(253), government(168), access(164), provides(158), with(155)"
Mapping,300,456.42,18,1982,409.5,70.46,3,317,64.0,"the(1077), and(991), api(501), for(342), data(270), maps(208), can(196), map(192), with(175), service(170)"
Messaging,300,427.27,88,1208,388.0,65.85,14,184,60.0,"and(919), the(765), sms(592), api(490), messages(285), for(250), users(246), can(228), their(221), with(220)"
Payments,300,458.19,153,1263,421.0,67.42,24,191,64.0,"and(1036), the(878), api(494), payment(429), for(339), payments(284), with(277), allows(196), service(167), that(167)"
Science,297,485.3,183,1482,440.0,71.73,33,225,66.0,"the(1085), and(890), for(334), api(326), data(325), provides(156), can(156), information(156), with(153), service(141)"
Social,300,445.72,85,2131,428.5,68.76,12,373,65.0,"and(991), the(888), api(511), social(306), users(260), for(256), with(245), that(204), their(195), can(192)"
Tools,300,418.7,109,1350,402.0,64.9,17,207,61.0,"and(915), the(836), api(499), for(276), with(228), can(212), that(206), users(201), allows(191), service(176)"
eCommerce,300,435.79,68,1284,401.5,65.95,10,204,61.0,"and(985), the(903), api(538), for(317), with(236), allows(171), developers(170), can(165), that(150), users(147)"
